scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost
25;ref;4721;556.5476604;1.463918495;0.043975852;0.025884894;0.000721419;0.016466122;0.000769168;0.043449276;1.472875393;0.015675105;0.000671649;0.008405361;0.001673471;0.022204371;0.424254446;87.96874293;13201.55466;2.13E+06
26;ref;5214;5181.409642;0.054877692;0.005288206;0.041347746;0.424298318;0.336960037;0.000185459;0.000851248;0.104921832;0.036358374;0.223568807;0.331815602;0.000197481;0.000445383;0.000741399;80.81055243;11884.75469;2.20E+06
27;ref;5266;832.0830095;0.255123837;0.002808045;0.041344152;0.444094602;0.248993435;0.000344562;0.002447546;0.402011785;0.030568932;0.227390543;0.317159113;8.26E-05;0.005347106;0.000741399;80.78805215;11886.69034;2.19E+06
27;ref;5266;831.6005491;0.255123837;0.002808045;0.041344152;0.444094602;0.248993435;0.000344562;0.002447546;0.402011785;0.030568932;0.227390543;0.317159113;8.26E-05;0.005347106;0.000741399;80.78805215;11886.69034;2.19E+06
27;low natural gas price;6671;1134.34637;1.245190834;0.030833568;0.041294104;0.270525079;0.319290097;0.001197911;0.010751526;1.872939152;0.032184257;0.145647765;0.221570129;0.001075305;0.001921627;0.000741399;90.95755392;12027.84579;1.91E+06
27;high natural gas price;5266;755.904386;0.255123837;0.002808045;0.041344152;0.444094602;0.248993435;0.000344562;0.002447546;0.402011785;0.030568932;0.227390543;0.317159113;8.26E-05;0.005347106;0.000741399;80.78805215;11886.69034;2.19E+06
27;Low RES buildout;5665;927.57617;0.832721097;0.052016166;0.04124939;0.204930073;0.368968757;0.003293079;0.025303836;0.895538754;0.03899135;0.211863988;0.29877317;0.001200715;0.058925024;0.000741399;84.49372719;13053.67871;2.02E+06
27;High RES buildout;5266;780.8015233;0.255123837;0.002808045;0.041344152;0.444094602;0.248993435;0.000344562;0.002447546;0.402011785;0.030568932;0.227390543;0.317159113;8.26E-05;0.005347106;0.000741399;80.78805215;11886.69034;2.19E+06
27;low industry emission reduction rate;5351;731.9273643;0.774805949;0.002751544;0.039627218;0.126705606;0.337954655;0.000311572;0.002353857;0.502274867;0.040337292;0.244735832;0.468439652;0.000683841;0.005141343;0.000741399;86.87850329;11729.38553;2.21E+06
27;low industry emission reduction rate;5351;988.0896885;0.774805949;0.002751544;0.039627218;0.126705606;0.337954655;0.000311572;0.002353857;0.502274867;0.040337292;0.244735832;0.468439652;0.000683841;0.005141343;0.000741399;86.87850329;11729.38553;2.21E+06
27;cheap SMR+CCS;5351;1046.828896;0.774805949;0.002751544;0.039627218;0.126705606;0.337954655;0.000311572;0.002353857;0.502274867;0.040337292;0.244735832;0.468439652;0.000683841;0.005141343;0.000741399;86.87850329;11729.38553;2.21E+06
27;expensive SMR+CCS;5351;955.9689778;0.774805949;0.002751544;0.039627218;0.126705606;0.337954655;0.000311572;0.002353857;0.502274867;0.040337292;0.244735832;0.468439652;0.000683841;0.005141343;0.000741399;86.87850329;11729.38553;2.21E+06
27;High electrolysis buildout;6083;1216.252008;0.788300016;0.010262484;0.041164097;0.163548764;0.168360364;0.00019172;0.001809245;0.83936196;0.032904035;0.191431774;0.110866682;0.000420664;0.000949335;0.000741399;86.97072606;11777.0147;2.20E+06
27;Extreme electrolysis buildout;5465;984.7412499;0.776352177;0.003064708;0.040753088;0.155620191;0.372214387;0.0002997;0.002336671;0.465519189;0.041035804;0.242321687;0.33101854;0.000153398;0.000584597;0.000741399;86.89568105;11734.40842;2.21E+06
27;2030 res target 60;5118;1021.012792;1.012854159;0.003019034;0.039361692;0.374324815;0.5965702;0.001044232;0.002990734;0.954717009;0.041036703;0.504315537;0.367954817;0.001111955;0.003208759;0.000741399;86.76255662;11739.46835;2.21E+06
27;2030 res target 80;10000;1983.699681;3.335685846;0.047717423;0.031718713;0.044725139;0.264392347;1807.48444;0.099747398;2.99165602;0.02655402;0.040397314;0.148910619;8.09E-11;0.107703222;0.000741399;109.3472563;11399.4554;2.16E+06
27;Expensive RES;10000;1928.97939;3.306929393;0.069156071;0.036026875;0.141488095;0.707940495;1807.48444;0.098636184;1.743731537;0.06294499;0.347174848;1.254461223;5.12E-10;0.103950703;0.000741399;109.1879821;11396.7806;2.18E+06
27;Cheap RES;10000;2132.191076;3.335685846;0.047717423;0.031718713;0.044725139;0.264392347;1807.48444;0.099747398;2.99165602;0.02655402;0.040397314;0.148910619;8.09E-11;0.107703222;0.000741399;109.3472563;11399.4554;2.16E+06
27;low demand growth;10000;2015.354074;15.23022921;0.215489534;0.216937389;0.507739076;1.298371803;1807.48444;0.097519766;8.40784216;0.118653019;0.524556548;1.733556602;0.002674013;0.222278635;0.000741399;108.383594;11338.76602;2.00E+06
27;high demand growth;10000;2122.492089;3.335685846;0.047717423;0.031718713;0.044725139;0.264392347;1807.48444;0.099747398;2.99165602;0.02655402;0.040397314;0.148910619;8.09E-11;0.107703222;0.000741399;109.3472563;11399.4554;2.16E+06
27;expensive electrolysis;10000;2050.25799;3.325674977;0.109318604;0.029643539;0.110838921;0.266900187;1807.48444;0.123137243;6.639495097;0.036380338;0.081449917;0.2514101;4.13E-10;0.270755408;0.000741399;109.3032295;11398.65129;2.17E+06
27;cheap electrolysis;10000;2131.470036;3.335685846;0.047717423;0.031718713;0.044725139;0.264392347;1807.48444;0.099747398;2.99165602;0.02655402;0.040397314;0.148910619;8.09E-11;0.107703222;0.000741399;109.3472563;11399.4554;2.16E+06
27;double CNHydrogen target 2030;10000;2026.254891;2.767299447;0.028077794;0.054753873;0.60310112;0.857722297;1807.48444;0.10841101;2.055809318;0.050876456;0.297211553;1.200138278;4.53E-11;0.234146794;0.000741399;109.5784288;11380.01526;2.21E+06
27;Low discount rate;1893;315.5846348;4.227185674;0.090538107;0.205550665;1.839299931;4.345261207;0.002152259;0.020465362;2.636305736;0.204737065;1.758429407;4.402517488;0.000482493;0.010274521;0.000741399;103.210116;11527.17044;2.58E+06
27;High discount rate;2553;408.9962721;2.537227366;0.018311621;0.206042875;1.723231982;4.255743872;0.00212993;0.013199342;1.579176286;0.173032731;1.563741732;6.406452152;0.000491216;0.003111549;0.000741399;85.15141517;11760.5792;2.28E+06
27;No new nuclear-biomass;2473;326.7594831;3.142315036;0.020528512;0.20673649;1.769410981;4.409111204;0.002411838;0.01332301;1.709405354;0.141490159;1.053362521;6.816603773;0.002544489;0.029306066;0.000741399;85.54378802;11751.07407;2.27E+06
27;2030 res target 80;2942;527.0813669;0.977508591;0.0170298;0.206691465;1.592699371;5.74624337;0.0098868;0.008162559;1.751760659;0.146283076;2.927946994;10.57036379;0.005017954;0.008695557;0.000741399;81.21018982;11860.70074;2.21E+06
27;Expensive RES;3132;544.8376027;1.526244436;0.05814923;0.206594715;1.555516481;6.145330322;0.008582853;0.007375911;1.790238393;0.11097495;2.784273425;9.847727976;0.004361356;0.016185074;0.000741399;81.08921521;11842.34686;2.24E+06
27;Expensive RES;2789;612.8976244;0.517440923;0.041448207;0.206406989;1.814866127;4.8075476;0.002029157;0.011620767;0.747464808;0.167884573;1.513826713;8.440986676;0.000476827;0.005914668;0.000741399;80.18228872;11893.22554;2.24E+06
27;Cheap RES;2633;528.665568;0.518936027;0.014461126;0.205900622;1.604701761;4.745732463;0.002282304;0.012706089;0.858824565;0.185807593;1.451043866;8.688353451;0.001155089;0.003005515;0.000741399;80.34738785;11894.64524;2.20E+06
27;Cheap RES;2252;410.0685224;0.856645264;0.043644939;0.205979942;1.910486818;5.90003966;0.003084802;0.015926013;1.345449826;0.168208602;1.673466883;10.25319959;0.003260249;0.003746986;0.000741399;80.84619004;11931.49615;2.13E+06
27;low demand growth;2531;477.1484337;1.50749576;0.02023101;0.175378866;1.81721102;5.00200942;0.002492844;0.013870905;0.817696064;0.105301828;1.640326274;7.604928873;0.000583076;0.007041823;0.000741399;78.92622786;11930.04367;2.00E+06
27;high demand growth;2252;361.2417453;0.856645264;0.043644939;0.205979942;1.910486818;5.90003966;0.003084802;0.015926013;1.345449826;0.168208602;1.673466883;10.25319959;0.003260249;0.003746986;0.000741399;80.84619004;11931.49615;2.13E+06
27;expensive electrolysis;2342;416.715989;0.90517594;0.044613696;0.20655669;1.578042426;5.526518293;0.002912956;0.016233857;1.380424527;0.144502917;1.778435732;10.52512575;0.000678528;0.008242362;0.000741399;80.84206102;11925.08238;2.15E+06
27;cheap electrolysis;2252;380.183595;0.856645264;0.043644939;0.205979942;1.910486818;5.90003966;0.003084802;0.015926013;1.345449826;0.168208602;1.673466883;10.25319959;0.003260249;0.003746986;0.000741399;80.84619004;11931.49615;2.13E+06
27;double CNHydrogen target 2030;2222;408.5858878;0.856525512;0.04994623;0.204138648;1.755658386;5.89554554;0.003223546;0.183471441;1.369980594;0.201382049;1.736695838;10.77597395;0.000748419;0.402353456;0.000741399;80.85932625;11932.17932;2.13E+06
27;Low discount rate;1685;290.8334214;5.50479183;0.033626099;0.206383598;1.719052075;5.638767009;0.002861489;0.19752005;3.773555188;0.161699014;2.103943433;9.470565447;0.002954525;0.435041368;0.000741399;103.2875633;11524.63481;2.51E+06
27;High discount rate;2224;404.3276261;3.036619075;0.015463019;0.206207923;1.974812069;4.804317983;0.002852586;0.177768387;1.6414993;0.162183428;1.565835924;8.506102855;0.001427838;0.043097139;0.000741399;85.51288514;11761.98072;2.22E+06
27;No new nuclear-biomass;2347;368.5914415;2.75566891;0.01198019;0.206494509;2.12119766;4.726803038;0.002727354;0.156084904;1.492664083;0.129557087;1.171804478;6.768362295;0.001368129;0.341938876;0.000741399;85.90132994;11762.81215;2.21E+06
27;ref;2633;464.8747239;0.518936027;0.014461126;0.205900622;1.604701761;4.745732463;0.002282304;0.012706089;0.858824565;0.185807593;1.451043866;8.688353451;0.001155089;0.003005515;0.000741399;80.34738785;11894.64524;2.20E+06
27;low natural gas price;1540;271.3762513;4.410730148;0.071145648;0.202759735;1.169790532;6.624504926;0.012942697;0.091081947;3.313661641;0.187682825;1.883487149;12.83062978;0.004850911;0.047458614;0.000741399;98.301236;11878.19508;1.92E+06
27;high natural gas price;2229;338.5223785;0.731931646;0.05860522;0.206554308;1.668582905;3.335195227;0.003137219;0.012636564;0.598361785;0.119999619;1.280016642;3.933987272;0.003315278;0.003012477;0.000741399;80.88605586;12072.43988;2.24E+06
27;Low RES buildout;2876;489.212875;3.248126932;0.081960327;0.206082784;1.504269726;4.09974302;0.014287771;0.051868972;1.823184037;0.137719883;1.333367571;6.843169571;0.004164014;0.120827631;0.000741399;83.75823159;13067.60786;2.02E+06
27;High RES buildout;2673;388.5513318;0.478103629;0.053864951;0.205778565;1.728356815;4.5068988;0.002129288;0.012419307;0.72514274;0.170821025;1.420146847;8.130297128;0.004686238;0.013180119;0.000741399;80.30137103;11505.34785;2.20E+06
27;low industry emission reduction rate;2502;382.0857474;2.850348068;0.020697274;0.206119453;2.094474009;5.250185576;0.002552674;0.014001727;2.87292517;0.156452235;1.453496849;9.62097908;0.000596668;0.00330524;0.000741399;86.44683758;11740.21384;2.22E+06
27;cheap SMR+CCS;2633;417.3950739;0.518936027;0.014461126;0.205900622;1.604701761;4.745732463;0.002282304;0.012706089;0.858824565;0.185807593;1.451043866;8.688353451;0.001155089;0.003005515;0.000741399;80.34738785;11894.64524;2.20E+06
