scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost;waterbed_sealed;CumulativeEmissions_PS;CumulativeEmissions_IND;CumulativeEmissions_H2S
27;2030 res target 80;2942;499.34875832440025;0.9775085908585001;0.01702980007928962;0.20669146460845947;1.5926993710612045;5.746243369894227;0.009886800373812728;0.008162559063105018;1.7517606587438597;0.14628307596613946;2.92794699407762;10.570363792662437;0.005017953632874381;0.008695556609932393;0.000741399;81.2101898170716;11860.700738607316;2.213466683210833e6;2040.0;2019.7358384742513;9301.444145398324;539.5207547347445
27;Expensive RES;2789;477.7632203490669;0.5174409227167536;0.04144820673772158;0.20640698925796194;1.8148661274921725;4.807547600074081;0.002029156638513871;0.011620766982985345;0.7474648083413454;0.1678845733596877;1.513826712844803;8.440986675563826;0.00047682712863083274;0.00591466758641838;0.000741399;80.18228871660475;11893.225542835738;2.2370752355173742e6;2040.0;2077.142239574803;9382.391256266046;433.69204699489035
27;Cheap RES;2252;344.1043498821668;0.8566452639241064;0.043644939297573036;0.2059799422345327;1.9104868177134966;5.900039659692231;0.003084802194999848;0.01592601338492497;1.345449825637337;0.16820860245996475;1.6734668831484791;10.253199590129762;0.003260248684686741;0.003746986053684691;0.000741399;80.84619004024933;11931.496154946362;2.132372405220758e6;2040.0;2090.4253735059333;9323.11773068293;517.9530507575105
27;low demand growth;2805;449.75376774068354;1.4301464338231766;0.026207895035751935;0.17526685726681696;1.6106470320151698;4.6217193460632915;0.0019915335437587812;0.0120424489068705;1.0949070862033514;0.11696674351886163;1.56019083291075;7.897699196052394;0.0010093843881364161;0.012782902305311528;0.000741399;78.63816605057767;11866.214445772424;2.074744610963437e6;2040.0;1865.7660666499567;9536.17428448549;464.2740946369857
27;high demand growth;1577;254.21260014195013;3.4120088536979276;0.06653385330876722;0.26956231319257545;1.9805424131348655;9.161824684324438;0.006292554499690818;0.025232417567301452;6.221182328930342;0.2082962057764802;2.776013083646859;16.61488995403271;0.0031439916087378436;0.026702903697537177;0.000741399;87.04765112376428;11961.000007640838;2.472443058151964e6;2040.0;2545.1333959905364;8789.635858149475;626.2307535008193
27;expensive electrolysis;2678;442.9873292445836;0.6004277006032417;0.08371255222682171;0.2066144073389434;1.6521613760197824;5.058102821201559;0.0022152868138161346;0.013788761246485544;0.9369180408043566;0.15837184875316287;1.5977385551398278;9.067689049462933;0.0005195773455277206;0.003268306344615184;0.000741399;80.42526050778004;11883.464270043201;2.2161856755597806e6;2040.0;2069.679699057264;9363.211134189536;450.5734367963986
27;cheap electrolysis;2592;423.7368547101335;0.37456221316170046;0.027873046389069768;0.20628501628027807;2.050174514922828;4.497240818817507;0.0023297547964409933;0.010511005574744691;0.6807021568019971;0.18070373848999377;1.4473512297039886;6.863886583187957;0.0024668534315827016;0.0053361232171499386;0.000741399;80.16999237189735;11931.230443362818;2.1777437039574934e6;2040.0;2095.0305622212036;9383.981599344079;452.21828179753095
27;double CNHydrogen target 2030;2628;427.6588367295169;0.5466249140750185;0.061061408634150084;0.20648831699584613;1.711844304881838;4.957952287199009;0.0022633564975023854;0.15508902399881674;0.8794939506923791;0.184347190879357;1.4659333675990969;8.82251182424286;0.0023969434151155434;0.037298768155134346;0.000741399;80.35351307745836;11892.078298815948;2.204011956455011e6;2040.0;2074.5995624021625;9368.2796393724;449.19909704138405
27;Low discount rate;1893;296.67825473923347;4.227159544756353;0.09115308612466398;0.20556233777575697;1.8392944841956562;4.345321150583916;0.0021522586177857303;0.020465365229378214;2.64184793547585;0.20475275973503182;1.7584261856953005;4.402513440207156;0.000482492936239463;0.010274522647394379;0.000741399;103.2101712225977;11527.176245815504;2.577402400950309e6;2041.0;2001.9203448141986;9137.101852241023;388.15404876028134
27;High discount rate;1952;311.3087298482002;3.7209620992351926;0.0353648244068328;0.20654843506070517;1.1652493576496692;6.9954771793596855;0.0045975859720346155;0.09525324408345714;3.4528950242515912;0.18890707517985186;1.8641750723259691;13.264545689053282;0.011104325489909948;0.23108440913221953;0.000741399;68.83588255012693;12575.047649728045;1.7880629972991366e6;2040.0;2054.6704850437754;9287.64026403665;419.6699702771676
27;No new nuclear-biomass;2397;329.8181170480335;0.8554568288828044;0.02461985104787478;0.19957177539451337;1.3738068341940228;5.321421121269492;0.0028630706674710724;0.014321418909569398;1.3759478732331851;0.2056099531582178;1.326912162388706;9.408063475664719;0.006304744597742106;0.015193812043955026;0.000741399;80.97733887087142;11865.501537522538;2.203458836741309e6;2040.0;2102.7487084619943;9308.743402682077;454.0094263784602
28;ref;2641;463.07149153761685;0.5541853125486539;0.0341768616463636;0.2058960608387907;1.8275102786299464;5.041163281144166;0.025647078998934383;0.016247501997408615;1.0569625853019815;0.1482628114421182;1.6214779730783404;9.427078974728424;0.014121367543799538;0.008229076726094391;0.000741399;80.42708390233724;11883.706828904122;2.2033051278981403e6;2040.0;2059.6655504848745;9364.390293096872;459.65098532236664
28;low natural gas price;1910;344.55666061966684;3.9280069776866378;0.04918935552092914;0.20585805586662037;2.0071711576689593;6.284211973374185;0.07189227628536356;0.10479552833512287;4.075910921111783;0.17532080607140973;1.361494096720778;11.669117470174452;0.07539095881405834;0.025425624902300013;0.000741399;96.37177338549427;11927.918218408964;1.922015238448474e6;2040.0;2659.7302726821954;8128.309371327184;1139.8785743995816
28;high natural gas price;2172;328.92367134628347;0.5450527955115523;0.02161359475088995;0.20633107669037817;2.3747461349609083;3.7827913900724695;0.052673021973175194;0.01469832701192133;0.4039601195922297;0.19657853441819317;1.7641808409556683;5.849202828115287;0.10012042803832318;0.007486621844852438;0.000741399;80.63326186711622;12076.192494027813;2.245303531771801e6;2040.0;2120.6476363781703;9329.633785340822;432.30845419673904
28;Low RES buildout;2890;476.93267253316685;4.007038986256845;0.16091270735623875;0.20606652088498645;1.6263761521504407;4.610498405349021;0.02902991675012009;0.054154822114316235;2.1403234387736867;0.16749552575164064;1.5015097016041936;8.244242168296143;0.06868442414681075;0.03195965821378413;0.000741399;83.65560240079076;13064.6471093007;2.0200361346643236e6;2040.0;3015.4542686387954;9167.177626149274;882.015214512632
28;High RES buildout;2631;409.7480493462669;0.6085017229855486;0.03233585495612326;0.2062464387442161;1.8674482227481797;5.074527798067436;0.043727307901386146;0.01597152880362434;0.9042585633918753;0.16303487084870782;1.6209712314967792;9.45253685825573;0.024216798270976194;0.035146285291122535;0.000741399;80.39429238111714;11485.803469975377;2.2052681622015517e6;2040.0;2120.6476363781703;9329.633785340822;432.30845419673904
28;low industry emission reduction rate;2503;399.99578345431684;2.837898600413495;0.015348370358421425;0.2058289559193211;1.173354261298583;5.7692624123668015;0.01883567743544122;0.018033010172006727;3.547895215710685;0.13629983104444143;1.8644474514038625;10.75646413999633;0.006386219617094952;0.00912628851340494;0.000741399;86.5932758832773;11737.909990760942;2.219801879259085e6;2041.0;2025.3261843349742;9264.668539447977;447.91526697798554
28;cheap SMR+CCS;2641;427.5284277338835;0.5541853125486539;0.0341768616463636;0.2058960608387907;1.8275102786299464;5.041163281144166;0.025647078998934383;0.016247501997408615;1.0569625853019815;0.1482628114421182;1.6214779730783404;9.427078974728424;0.014121367543799538;0.008229076726094391;0.000741399;80.42708390233724;11883.706828904122;2.2033051278981403e6;2040.0;2059.6655504848745;9364.390293096872;459.65098532236664
28;expensive SMR+CCS;2641;431.2881012842835;0.5541853125486539;0.0341768616463636;0.2058960608387907;1.8275102786299464;5.041163281144166;0.025647078998934383;0.016247501997408615;1.0569625853019815;0.1482628114421182;1.6214779730783404;9.427078974728424;0.014121367543799538;0.008229076726094391;0.000741399;80.42708390233724;11883.706828904122;2.2033051278981403e6;2040.0;2059.6655504848745;9364.390293096872;459.65098532236664
28;High electrolysis buildout;2630;415.9933089644168;0.6249335208743763;0.021148477526118148;0.20584365683402403;1.878768741407856;5.063003337872324;0.020796209446759188;0.016222886829585427;1.0106320116053422;0.18417246936125511;1.6195408157651638;9.41870830459336;0.010382432030153084;0.017186197636008677;0.000741399;80.44219731236214;11909.675217058315;2.197122076009862e6;2040.0;2064.7486285783216;9362.3063706929;482.6202177870701
28;Extreme electrolysis buildout;2632;414.0514847295335;0.584915751208003;0.007827389873763883;0.20576214399395137;1.9018527468230166;5.077457742317232;0.01995389851823505;0.016450528354332868;0.9693998704606529;0.15004200070314702;1.622383342372399;9.443881322248954;0.043700598840678444;0.0038611249809644694;0.000741399;80.41462229576153;11859.775686975066;2.209338445934311e6;2040.0;2050.7034043671715;9366.379011348934;442.69327125896115
