Hour;EOM_price;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;PROD_Biomass;PROD_SPP_lignite;PROD_Solar;PROD_ICE;PROD_WindOffshore;PROD_WindOnshore;PROD_Nuclear;PROD_CCGT_old;PROD_CCGT_new;PROD_SPP_coal;PROD_OCGT
5342.0;5.116397585003218;-0.05032004713758078;-0.09414013957018191;-0.060094527931579995;0.0;0.0;0.11458195927893836;0.0;0.053050180055342434;0.032506780689992125;0.0;0.0;0.0;0.0;0.0
5343.0;5.171414914814235;-0.05032004713758078;-0.09414013955896115;-0.060094527931579995;0.0;0.0;0.10255926154451557;0.0;0.054566878021816555;0.030840314100398638;0.0;0.0;0.0;0.0;0.0
5344.0;5.243038400207189;-0.05032004713758078;-0.0876943412987747;-0.060094527931579995;0.0;0.0;0.08112119731002977;0.0;0.05458155573571654;0.02942452963680768;0.0;0.0;0.0;0.0;0.0
5345.0;5.330278949638908;-0.05032004713758078;-0.07126576799314495;-0.060094527931579995;0.0;0.0;0.05022578160504765;0.0;0.05396998406851485;0.027686846551947905;0.0;0.0;0.0;0.0;0.0
5346.0;5.401950047469466;-0.05032004713758078;-0.06074508214602507;-0.060094527931579995;0.0;0.0;0.020600442694550525;0.0;0.05795253927923962;0.02529325931205296;0.0;0.0;0.0;0.0;0.0
5347.0;5.443098403440898;-0.05032004713758078;-0.049630487743018585;-0.060094527931579995;0.0;0.0;0.004431624704735288;0.0;0.05889191354515504;0.025806018312888958;0.0;0.0;0.0;0.0;0.0
5348.0;5.4413482308846834;-0.05032004713758078;-0.050927331901874935;-0.060094527931579995;0.0;0.0;0.001112629498328966;0.0;0.060261834235899835;0.028239486847558195;0.0;0.0;0.0;0.0;0.0
5349.0;5.431427668884838;-0.05032004713758078;-0.059743681926238294;-0.060094527931579995;0.0;0.0;0.000743152684707939;0.0;0.06042328914535218;0.030392362252543006;0.0;0.0;0.0;0.0;0.0
5350.0;5.426743210538086;-0.05032004713758078;-0.07036854360259001;-0.060094527931579995;0.0;0.0;0.0006255915703785185;0.0;0.0585934664505927;0.03147129252780326;0.0;0.0;0.0;0.0;0.0
5351.0;5.41466557826687;-0.05032004713758078;-0.08257425347546964;-0.060094527931579995;0.0;0.0;0.00041566178103839976;0.0;0.05966983274562572;0.03256304174872912;0.0;0.0;0.0;0.0;0.0
5352.0;5.410971184644246;-0.05032004713758078;-0.09144211531635014;-0.060094527931579995;0.0;0.0;0.00021832727182059537;0.0;0.05816291994720974;0.03344968744760187;0.0;0.0;0.0;0.0;0.0
5353.0;5.46315732571118;-0.050320047133909446;-0.09227327536669;-0.06009452791994401;0.0;0.0;3.568830068804835e-5;0.0;0.029267377668640106;0.03927092576182585;0.0;0.0;0.0;0.0;0.0
5354.0;4.562376081534074;-0.050320047133909446;-0.09414013957450579;-0.06009452791994401;0.0;0.0;4.198580804774267e-5;0.0;0.0257936501054916;0.03554202881090405;0.0;0.0;0.0;0.0;0.0
5355.0;4.51893015920976;-0.050320047133909446;-0.09414013957474175;-0.06009452791994401;0.0;0.0;3.568830387157706e-5;0.0;0.02902764145772684;0.03521158409535071;0.0;0.0;0.0;0.0;0.0
5356.0;5.393366751878264;-0.050320047133909446;-0.09414013842416778;-0.06009452791994401;0.0;0.0;3.5688301057144344e-5;0.0;0.025524558549436853;0.03764149181234752;0.0;0.0;0.0;0.0;0.0
5357.0;5.373814744006978;-0.050320047133909446;-0.09414013938687113;-0.06009452791994401;0.0;0.0;3.5688301154491e-5;0.0;0.02583768327801601;0.03700908918815625;0.0;0.0;0.0;0.0;0.0
5358.0;5.404291141887819;-0.050320047133909446;-0.09414013273653259;-0.06009452791994401;0.0;0.0;4.408512781953625e-5;0.0;0.02495701993957907;0.03710808006572841;0.0;0.0;0.0;0.0;0.0
5359.0;5.414755042132441;-0.050320047133909446;-0.09413954131793362;-0.06009452791994401;0.0;0.0;0.00022672455796797302;0.0;0.028518813812719063;0.03768991907089232;0.0;0.0;0.0;0.0;0.0
5360.0;5.431488678128013;-0.050320047133909446;-0.09397622829084457;-0.06009452791994401;0.0;0.0;0.00301039770283659;0.0;0.03173812753263099;0.037964102727746335;0.0;0.0;0.0;0.0;0.0
5361.0;5.337372005537548;-0.050320047133909446;-0.09414013952537023;-0.06009452791994401;0.0;0.0;0.01994546085318969;0.0;0.036141444150315866;0.0371914033429971;0.0;0.0;0.0;0.0;0.0
5362.0;5.202234961366118;-0.050320047133909446;-0.0941401395604689;-0.06009452791994401;0.0;0.0;0.04505730178935723;0.0;0.03923844354574045;0.036651582123474455;0.0;0.0;0.0;0.0;0.0
5363.0;5.070386301100793;-0.050320047133909446;-0.09414013956753786;-0.06009452791994401;0.0;0.0;0.06760169760051121;0.0;0.03946839446546131;0.03582903128331963;0.0;0.0;0.0;0.0;0.0
5364.0;4.969680140572599;-0.050320047133909446;-0.09414013957014701;-0.06009452791994401;0.0;0.0;0.07966428238322035;0.0;0.04146945723242808;0.03615377868958965;0.0;0.0;0.0;0.0;0.0
5365.0;4.973099778323522;-0.050320047133909446;-0.09414013957008065;-0.06009452791994401;0.0;0.0;0.08248994166975886;0.0;0.04266324530151209;0.037848731825139245;0.0;0.0;0.0;0.0;0.0
5366.0;4.957833710312952;-0.050320047133909446;-0.09414013957038048;-0.06009452791994401;0.0;0.0;0.07297800783302034;0.0;0.0493709643324605;0.04004647380088361;0.0;0.0;0.0;0.0;0.0
5367.0;5.03911626145814;-0.050320047133909446;-0.09414013956850435;-0.06009452791994401;0.0;0.0;0.05644181236228884;0.0;0.05201784689989378;0.04133478058014152;0.0;0.0;0.0;0.0;0.0
5368.0;5.21231114773891;-0.050320047133909446;-0.09414013955954438;-0.06009452791994401;0.0;0.0;0.033120675441685836;0.0;0.050349479199019775;0.041894542381833995;0.0;0.0;0.0;0.0;0.0
5369.0;5.3706344240123585;-0.050320047133909446;-0.09147382874625616;-0.06009452791994401;0.0;0.0;0.009982177008526117;0.0;0.052918080509795726;0.04647234035778423;0.0;0.0;0.0;0.0;0.0
5370.0;5.386353218175457;-0.050320047133909446;-0.07415670830571817;-0.06009452791994401;0.0;0.0;0.0016878378720746265;0.0;0.05477725862933685;0.05093761608588156;0.0;0.0;0.0;0.0;0.0
5371.0;5.377804167761263;-0.050320047133909446;-0.07562468242269536;-0.06009452791994401;0.0;0.0;7.137594829866374e-5;0.0;0.05582426950022016;0.054902239856073336;0.0;0.0;0.0;0.0;0.0
5372.0;5.379656336375979;-0.050320047133909446;-0.07735919472521961;-0.06009452791994401;0.0;0.0;4.6184688257907254e-5;0.0;0.05454730770391081;0.054908649328907815;0.0;0.0;0.0;0.0;0.0
5373.0;5.375510538831043;-0.050320047133909446;-0.08339675561123144;-0.06009452791994401;0.0;0.0;4.1985803176977175e-5;0.0;0.05495339132743167;0.0546679374939832;0.0;0.0;0.0;0.0;0.0
5374.0;5.375411407099736;-0.050320047133909446;-0.08942717210004937;-0.06009452791994401;0.0;0.0;3.778739008694525e-5;0.0;0.053549222590525025;0.054454287877692194;0.0;0.0;0.0;0.0;0.0
5375.0;5.370819974297785;-0.050320047133909446;-0.09414013503485583;-0.06009452791994401;0.0;0.0;3.778739010844889e-5;0.0;0.05457177058254866;0.053023547977472066;0.0;0.0;0.0;0.0;0.0
5376.0;5.314370683647344;-0.050320047133909446;-0.09414013953953013;-0.060094527919944025;0.0;0.0;3.988671432357859e-5;0.0;0.055036565052632255;0.052149009191053294;0.0;0.0;0.0;0.0;0.0
5377.0;5.432043931634017;-0.052324955160167226;-0.05356015485385177;-0.062185699322289616;0.0;0.0;3.5839102201176545e-5;0.0;0.05810474388216675;0.06792281835328022;0.0;0.0;0.0;0.0;0.0
5378.0;5.430152837042711;-0.052324955160167226;-0.05623532256448083;-0.062185699322289616;0.0;0.0;3.3730671382416103e-5;0.0;0.05722556643585806;0.06812475780833638;0.0;0.0;0.0;0.0;0.0
5379.0;5.42650044346027;-0.052324955160167226;-0.05882068358673816;-0.062185699322289616;0.0;0.0;3.3730671403306836e-5;0.0;0.057536735953425115;0.06797959138794664;0.0;0.0;0.0;0.0;0.0
5380.0;5.430835070706827;-0.052324955160167226;-0.060039876313689365;-0.062185699322289616;0.0;0.0;3.5839102211284765e-5;0.0;0.05532891368724166;0.06753546813138975;0.0;0.0;0.0;0.0;0.0
5381.0;5.4361570189792205;-0.052324955160167226;-0.05770002424330488;-0.062185699322289616;0.0;0.0;3.5839102183372305e-5;0.0;0.05333841631370198;0.06846611466069087;0.0;0.0;0.0;0.0;0.0
5382.0;5.426923756807217;-0.052324955160167226;-0.05586826428692965;-0.062185699322289616;0.0;0.0;3.5839102228151366e-5;0.0;0.057729364761555234;0.06928177770032222;0.0;0.0;0.0;0.0;0.0
5383.0;5.449075536569263;-0.052324955160167226;-0.0394204046057472;-0.062185699322289616;0.0;0.0;4.637984897914037e-5;0.0;0.05548696814829626;0.07094472439393792;0.0;0.0;0.0;0.0;0.0
5384.0;5.472355115049798;-0.052324955160167226;-0.019186831101876058;-0.062185699322289616;0.0;0.0;0.0011257637912400697;0.0;0.054839933029314565;0.07158216324181203;0.0;0.0;0.0;0.0;0.0
5385.0;5.507334179701137;-0.052324955160167226;-0.003541113778175288;-0.062185699322289616;0.0;0.0;0.006077859701883289;0.0;0.0445417018314537;0.07002773210715783;0.0;0.0;0.0;0.0;0.0
5386.0;5.482913498386571;-0.052324955160167226;-0.004858398298492328;-0.062185699322289616;0.0;0.0;0.01714787100518357;0.0;0.04452688424188064;0.0690000685916701;0.0;0.0;0.0;0.0;0.0
5387.0;5.4363135883628795;-0.052324955160167226;-0.011334331807721386;-0.062185699322289616;0.0;0.0;0.03338079508177417;0.0;0.04521343295578941;0.06904246860783804;0.0;0.0;0.0;0.0;0.0
5388.0;5.406083329406433;-0.052324955160167226;-0.01516189338995872;-0.062185699322289616;0.0;0.0;0.04413668858129074;0.0;0.04568759610307665;0.06902522114361825;0.0;0.0;0.0;0.0;0.0
5389.0;5.395680394543492;-0.052324955160167226;-0.017520296708941962;-0.062185699322289616;0.0;0.0;0.04707548043414642;0.0;0.04600370486828852;0.06904821776256137;0.0;0.0;0.0;0.0;0.0
5390.0;5.40766124295707;-0.052324955160167226;-0.01716194458313421;-0.062185699322289616;0.0;0.0;0.041069298549320205;0.0;0.04672482800964302;0.06926093701439734;0.0;0.0;0.0;0.0;0.0
5391.0;5.442016672217193;-0.052324955160167226;-0.011408371702424697;-0.062185699322289616;0.0;0.0;0.03095639759673319;0.0;0.04527270338829227;0.06884484101883552;0.0;0.0;0.0;0.0;0.0
5392.0;5.4809918439215926;-0.052324955160167226;-0.006422617407365375;-0.062185699322289616;0.0;0.0;0.01730598377172721;0.0;0.045820954481633085;0.06751750202285582;0.0;0.0;0.0;0.0;0.0
5393.0;5.516322184128608;-0.052324955160167226;-1.3088544087187096e-5;-0.062185699322289616;0.0;0.0;0.006379328295445288;0.0;0.04507019616458665;0.06759295981042938;0.0;0.0;0.0;0.0;0.0
5394.0;5.57755016603054;-0.052324955160167226;-5.880480199070416e-11;-0.062185699322289616;0.0;0.0;0.0015452900293764244;0.0;0.044684938627834125;0.06882831219900779;0.0;0.0;0.0;0.0;0.0
5395.0;5.610128131803592;-0.052324955160167226;-3.5892562913486244e-11;-0.062185699322289616;0.0;0.0;0.00012649035289405354;0.0;0.043237753099148984;0.06952539865891931;0.0;0.0;0.0;0.0;0.0
5396.0;5.6584240472745835;-0.052324955160167226;-2.4236488858712634e-11;-0.062185699322289616;0.0;0.0;4.42714161732313e-5;0.0;0.032875312376303464;0.06925662514841766;0.0;0.0;0.0;0.0;0.0
5397.0;5.58156960892267;-0.052324955160167226;-5.391123574944889e-11;-0.062185699322289616;0.0;0.0;4.005525678405518e-5;0.0;0.031457762099076046;0.06803708293536155;0.0;0.0;0.0;0.0;0.0
5398.0;5.549777915668955;-0.052324955160167226;-0.008750597006696623;-0.062185699322289616;0.0;0.0;4.005525677134377e-5;0.0;0.030845301326038726;0.0677841196003649;0.0;0.0;0.0;0.0;0.0
5399.0;5.528505208659962;-0.052324955160167226;-0.020912363919105937;-0.062185699322289616;0.0;0.0;4.005525676725011e-5;0.0;0.03459909299428333;0.06665512696935633;0.0;0.0;0.0;0.0;0.0
5400.0;5.511796540391623;-0.052324955160167226;-0.031255911370788945;-0.062185699322289616;0.0;0.0;4.005525676829077e-5;0.0;0.03680691525997055;0.06605577613997106;0.0;0.0;0.0;0.0;0.0
5401.0;5.557431995825457;-0.052324955162443884;-0.04847230407496192;-0.06218569932941636;0.0;0.0;3.583910279216569e-5;0.0;0.0378342687870952;0.03466963468932606;0.0;0.0;0.0;0.0;0.0
